Ano,Categoria,Produto,Quantidade(L)
1972,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1972,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),1.059.696
1972,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),11.876.098
1972,OUTROS PRODUTOS COMERCIALIZADOS,Cooler,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,1.573.023
1972,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,670.626
1972,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,133.865
1972,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,447.600
1972,OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Sangria,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,1.524.908
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,3.921.573
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2.407.816
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,-
1972,OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,-
1973,VINHO DE MESA,Tinto,98.196.747
1973,VINHO DE MESA,Rosado,8.425.617
1973,VINHO DE MESA,Branco,9.995.546
1973,VINHO FINO DE MESA,Tinto,783.508
1973,VINHO FINO DE MESA,Rosado,1.377.333
1973,VINHO FINO DE MESA,Branco,5.041.989
1973,VINHO ESPECIAL,Tinto,5.017.487
1973,VINHO ESPECIAL,Rosado,2.062.011
1973,VINHO ESPECIAL,Branco,2.614.455
1973,ESPUMANTES,Espumante  Moscatel,-
1973,ESPUMANTES,Espumante,-
1973,ESPUMANTES,Espumante Orgânico,-
1973,SUCO DE UVAS,Suco Natural Integral,-
1973,SUCO DE UVAS,Suco Adoçado,-
1973,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1973,SUCO DE UVAS,Suco Orgânico,-
1973,SUCO DE UVAS,Outros sucos de uvas,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1973,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),997.624
1973,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),12.156.057
1973,OUTROS PRODUTOS COMERCIALIZADOS,Cooler,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,1.485.567
1973,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,837.970
1973,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,160.470
1973,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,1.724.244
1973,OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Sangria,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,1.426.737
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,4.168.841
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2.443.944
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,-
1973,OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,-
1974,VINHO DE MESA,Tinto,77.167.303
1974,VINHO DE MESA,Rosado,8.891.367
1974,VINHO DE MESA,Branco,8.114.654
1974,VINHO FINO DE MESA,Tinto,1.616.144
1974,VINHO FINO DE MESA,Rosado,1.725.564
1974,VINHO FINO DE MESA,Branco,4.230.094
1974,VINHO ESPECIAL,Tinto,3.763.509
1974,VINHO ESPECIAL,Rosado,1.989.341
1974,VINHO ESPECIAL,Branco,1.885.634
1974,ESPUMANTES,Espumante  Moscatel,-
1974,ESPUMANTES,Espumante,-
1974,ESPUMANTES,Espumante Orgânico,-
1974,SUCO DE UVAS,Suco Natural Integral,-
1974,SUCO DE UVAS,Suco Adoçado,-
1974,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1974,SUCO DE UVAS,Suco Orgânico,-
1974,SUCO DE UVAS,Outros sucos de uvas,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1974,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),839.441
1974,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),12.885.577
1974,OUTROS PRODUTOS COMERCIALIZADOS,Cooler,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,1.409.986
1974,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,1.039.110
1974,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,45.878
1974,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,761.417
1974,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,239.200
1974,OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Sangria,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,1.717.666
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,3.670.736
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,1.921.867
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,-
1974,OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,-
1975,VINHO DE MESA,Tinto,91.528.090
1975,VINHO DE MESA,Rosado,7.261.777
1975,VINHO DE MESA,Branco,9.241.925
1975,VINHO FINO DE MESA,Tinto,2.050.960
1975,VINHO FINO DE MESA,Rosado,2.130.619
1975,VINHO FINO DE MESA,Branco,4.666.724
1975,VINHO ESPECIAL,Tinto,4.815.235
1975,VINHO ESPECIAL,Rosado,2.885.972
1975,VINHO ESPECIAL,Branco,2.559.238
1975,ESPUMANTES,Espumante  Moscatel,-
1975,ESPUMANTES,Espumante,-
1975,ESPUMANTES,Espumante Orgânico,-
1975,SUCO DE UVAS,Suco Natural Integral,-
1975,SUCO DE UVAS,Suco Adoçado,-
1975,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1975,SUCO DE UVAS,Suco Orgânico,-
1975,SUCO DE UVAS,Outros sucos de uvas,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1975,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),706.946
1975,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,-
