Opção,Ano,Países,Quantidade(Kg.),Valor (US$)
Vinhos de mesa,1975,Estados Unidos,965,3.761
Vinhos de mesa,1975,França,191.546,278.746
Vinhos de mesa,1975,Geórgia,-,-
Vinhos de mesa,1975,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1975,Grécia,-,-
Vinhos de mesa,1975,Hong Kong,-,-
Vinhos de mesa,1975,Hungria,-,-
Vinhos de mesa,1975,Indonésia,-,-
Vinhos de mesa,1975,Irlanda,-,-
Vinhos de mesa,1975,Israel,-,-
Vinhos de mesa,1975,Itália,250.541,244.731
Vinhos de mesa,1975,Japão,-,-
Vinhos de mesa,1975,Iugoslávia,7.969,5.128
Vinhos de mesa,1975,Líbano,-,-
Vinhos de mesa,1975,Luxemburgo,-,-
Vinhos de mesa,1975,Macedônia,-,-
Vinhos de mesa,1975,Marrocos,-,-
Vinhos de mesa,1975,México,-,-
Vinhos de mesa,1975,Moldávia,-,-
Vinhos de mesa,1975,Montenegro,-,-
Vinhos de mesa,1975,Noruega,-,-
Vinhos de mesa,1975,Nova Zelândia,-,-
Vinhos de mesa,1975,Países Baixos (Holanda),-,-
Vinhos de mesa,1975,Panamá,-,-
Vinhos de mesa,1975,Paraguai,-,-
Vinhos de mesa,1975,Peru,-,-
Vinhos de mesa,1975,Porto Rico,-,-
Vinhos de mesa,1975,Portugal,2.192.004,1.838.430
Vinhos de mesa,1975,Reino Unido,-,-
Vinhos de mesa,1975,Republica Dominicana,-,-
Vinhos de mesa,1975,Romênia,-,-
Vinhos de mesa,1975,Rússia,-,-
Vinhos de mesa,1975,San Marino,-,-
Vinhos de mesa,1975,Sérvia,-,-
Vinhos de mesa,1975,Síria,-,-
Vinhos de mesa,1975,Suazilândia,-,-
Vinhos de mesa,1975,Suíça,-,-
Vinhos de mesa,1975,"Tcheca, República",-,-
Vinhos de mesa,1975,Tunísia,-,-
Vinhos de mesa,1975,Turquia,-,-
Vinhos de mesa,1975,Ucrânia,-,-
Vinhos de mesa,1975,Uruguai,-,-
Vinhos de mesa,1975,Não consta na tabela,-,-
Vinhos de mesa,1975,Não declarados,-,-
Vinhos de mesa,1975,Outros,18.132,13.989
Vinhos de mesa,1975,Total,4.077.010,3.519.013
Vinhos de mesa,1976,Africa do Sul,-,-
Vinhos de mesa,1976,Alemanha,168.134,171.308
Vinhos de mesa,1976,Argélia,-,-
Vinhos de mesa,1976,Arábia Saudita,-,-
Vinhos de mesa,1976,Argentina,348.653,277.507
Vinhos de mesa,1976,Armênia,-,-
Vinhos de mesa,1976,Austrália,-,-
Vinhos de mesa,1976,Áustria,-,-
Vinhos de mesa,1976,Bermudas,-,-
Vinhos de mesa,1976,Bélgica,-,-
Vinhos de mesa,1976,Bolívia,-,-
Vinhos de mesa,1976,Bósnia-Herzegovina,-,-
Vinhos de mesa,1976,Brasil,-,-
Vinhos de mesa,1976,Bulgária,-,-
Vinhos de mesa,1976,Canada,-,-
Vinhos de mesa,1976,Chile,2.175.650,1.574.474
Vinhos de mesa,1976,China,-,-
Vinhos de mesa,1976,"Coreia do Sul, República",-,-
Vinhos de mesa,1976,Croácia,-,-
Vinhos de mesa,1976,Cuba,-,-
Vinhos de mesa,1976,Emirados Árabes Unidos,-,-
Vinhos de mesa,1976,Eslovênia,-,-
Vinhos de mesa,1976,Eslováquia,-,-
Vinhos de mesa,1976,Espanha,52.474,41.000
Vinhos de mesa,1976,Estados Unidos,1.800,2.575
Vinhos de mesa,1976,França,284.613,423.696
Vinhos de mesa,1976,Geórgia,-,-
Vinhos de mesa,1976,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1976,Grécia,-,-
Vinhos de mesa,1976,Hong Kong,-,-
Vinhos de mesa,1976,Hungria,-,-
Vinhos de mesa,1976,Indonésia,-,-
Vinhos de mesa,1976,Irlanda,-,-
Vinhos de mesa,1976,Israel,-,-
Vinhos de mesa,1976,Itália,304.377,276.633
Vinhos de mesa,1976,Japão,-,-
Vinhos de mesa,1976,Iugoslávia,2.100,1.870
Vinhos de mesa,1976,Líbano,-,-
Vinhos de mesa,1976,Luxemburgo,-,-
Vinhos de mesa,1976,Macedônia,-,-
Vinhos de mesa,1976,Marrocos,-,-
Vinhos de mesa,1976,México,-,-
Vinhos de mesa,1976,Moldávia,-,-
Vinhos de mesa,1976,Montenegro,-,-
Vinhos de mesa,1976,Noruega,-,-
Vinhos de mesa,1976,Nova Zelândia,-,-
Vinhos de mesa,1976,Países Baixos (Holanda),-,-
Vinhos de mesa,1976,Panamá,-,-
Vinhos de mesa,1976,Paraguai,-,-
Vinhos de mesa,1976,Peru,-,-
Vinhos de mesa,1976,Porto Rico,-,-
Vinhos de mesa,1976,Portugal,2.284.423,1.872.573
Vinhos de mesa,1976,Reino Unido,-,-
Vinhos de mesa,1976,Republica Dominicana,-,-
Vinhos de mesa,1976,Romênia,-,-
Vinhos de mesa,1976,Rússia,-,-
Vinhos de mesa,1976,San Marino,-,-
Vinhos de mesa,1976,Sérvia,-,-
Vinhos de mesa,1976,Síria,-,-
Vinhos de mesa,1976,Suazilândia,-,-
Vinhos de mesa,1976,Suíça,-,-
Vinhos de mesa,1976,"Tcheca, República",-,-
Vinhos de mesa,1976,Tunísia,-,-
Vinhos de mesa,1976,Turquia,-,-
Vinhos de mesa,1976,Ucrânia,-,-
Vinhos de mesa,1976,Uruguai,-,-
Vinhos de mesa,1976,Não consta na tabela,-,-
Vinhos de mesa,1976,Não declarados,-,-
Vinhos de mesa,1976,Outros,10.200,7.884
Vinhos de mesa,1976,Total,5.632.424,4.649.520
Vinhos de mesa,1977,Africa do Sul,-,-
Vinhos de mesa,1977,Alemanha,160.926,201.840
Vinhos de mesa,1977,Argélia,-,-
Vinhos de mesa,1977,Arábia Saudita,-,-
Vinhos de mesa,1977,Argentina,408.399,395.615
Vinhos de mesa,1977,Armênia,-,-
Vinhos de mesa,1977,Austrália,-,-
Vinhos de mesa,1977,Áustria,-,-
Vinhos de mesa,1977,Bermudas,-,-
Vinhos de mesa,1977,Bélgica,-,-
Vinhos de mesa,1977,Bolívia,-,-
Vinhos de mesa,1977,Bósnia-Herzegovina,-,-
Vinhos de mesa,1977,Brasil,-,-
Vinhos de mesa,1977,Bulgária,-,-
Vinhos de mesa,1977,Canada,-,-
Vinhos de mesa,1977,Chile,2.593.464,1.962.448
Vinhos de mesa,1977,China,-,-
Vinhos de mesa,1977,"Coreia do Sul, República",-,-
Vinhos de mesa,1977,Croácia,-,-
Vinhos de mesa,1977,Cuba,-,-
Vinhos de mesa,1977,Emirados Árabes Unidos,-,-
Vinhos de mesa,1977,Eslovênia,-,-
Vinhos de mesa,1977,Eslováquia,-,-
Vinhos de mesa,1977,Espanha,105.667,98.238
Vinhos de mesa,1977,Estados Unidos,2.250,3.275
Vinhos de mesa,1977,França,322.033,476.983
Vinhos de mesa,1977,Geórgia,-,-
Vinhos de mesa,1977,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Vinhos de mesa,1977,Grécia,-,-
Vinhos de mesa,1977,Hong Kong,-,-
Vinhos de mesa,1977,Hungria,-,-
Vinhos de mesa,1977,Indonésia,-,-
Vinhos de mesa,1977,Irlanda,-,-
Vinhos de mesa,1977,Israel,-,-
Vinhos de mesa,1977,Itália,348.461,349.392
Vinhos de mesa,1977,Japão,-,-
Vinhos de mesa,1977,Iugoslávia,1.764,1.570
Vinhos de mesa,1977,Líbano,-,-
Vinhos de mesa,1977,Luxemburgo,-,-
Vinhos de mesa,1977,Macedônia,-,-
Vinhos de mesa,1977,Marrocos,-,-
Vinhos de mesa,1977,México,-,-
Vinhos de mesa,1977,Moldávia,-,-
Vinhos de mesa,1977,Montenegro,-,-
Vinhos de mesa,1977,Noruega,-,-
Vinhos de mesa,1977,Nova Zelândia,-,-
Vinhos de mesa,1977,Países Baixos (Holanda),-,-
Vinhos de mesa,1977,Panamá,-,-
Vinhos de mesa,1977,Paraguai,-,-
Vinhos de mesa,1977,Peru,-,-
Vinhos de mesa,1977,Porto Rico,-,-
Vinhos de mesa,1977,Portugal,2.132.582,1.847.604
Vinhos de mesa,1977,Reino Unido,-,-
Vinhos de mesa,1977,Republica Dominicana,-,-
Vinhos de mesa,1977,Romênia,-,-
Vinhos de mesa,1977,Rússia,-,-
Vinhos de mesa,1977,San Marino,-,-
Vinhos de mesa,1977,Sérvia,-,-
Vinhos de mesa,1977,Síria,-,-
Vinhos de mesa,1977,Suazilândia,-,-
Vinhos de mesa,1977,Suíça,-,-
Vinhos de mesa,1977,"Tcheca, República",-,-
Vinhos de mesa,1977,Tunísia,-,-
Vinhos de mesa,1977,Turquia,-,-
Vinhos de mesa,1977,Ucrânia,-,-
Vinhos de mesa,1977,Uruguai,24.191,33.975
Vinhos de mesa,1977,Não consta na tabela,-,-
Vinhos de mesa,1977,Não declarados,-,-
Vinhos de mesa,1977,Outros,450,642
Vinhos de mesa,1977,Total,6.100.187,5.371.582
Vinhos de mesa,1978,Africa do Sul,-,-
Vinhos de mesa,1978,Alemanha,437.831,668.631
Vinhos de mesa,1978,Argélia,-,-
Vinhos de mesa,1978,Arábia Saudita,-,-
Vinhos de mesa,1978,Argentina,614.134,709.813
Vinhos de mesa,1978,Armênia,-,-
Vinhos de mesa,1978,Austrália,-,-
Vinhos de mesa,1978,Áustria,600,386
Vinhos de mesa,1978,Bermudas,-,-
Vinhos de mesa,1978,Bélgica,-,-
Vinhos de mesa,1978,Bolívia,-,-
Vinhos de mesa,1978,Bósnia-Herzegovina,-,-
Vinhos de mesa,1978,Brasil,-,-
Vinhos de mesa,1978,Bulgária,-,-
Vinhos de mesa,1978,Canada,-,-
Vinhos de mesa,1978,Chile,3.742.918,3.415.769
Vinhos de mesa,1978,China,-,-
