Ano,Categoria,Produto,Quantidade(L.)
1973,DERIVADOS,Espumante moscatel,-
1973,DERIVADOS,Base espumante,-
1973,DERIVADOS,Base espumante moscatel,-
1973,DERIVADOS,Base Champenoise champanha,-
1973,DERIVADOS,Base Charmat champanha,-
1973,DERIVADOS,Bebida de uva,-
1973,DERIVADOS,Polpa de uva,-
1973,DERIVADOS,Mosto simples,21.779.327
1973,DERIVADOS,Mosto concentrado,-
1973,DERIVADOS,Mosto de uva com bagaço,-
1973,DERIVADOS,Mosto dessulfitado,-
1973,DERIVADOS,Mistelas,512.900
1973,DERIVADOS,Néctar de uva,-
1973,DERIVADOS,Licorosos,176.500
1973,DERIVADOS,Compostos,1.628.000
1973,DERIVADOS,Jeropiga,-
1973,DERIVADOS,Filtrado,-
1973,DERIVADOS,Frisante,-
1973,DERIVADOS,Vinho leve,-
1973,DERIVADOS,Vinho licoroso,-
1973,DERIVADOS,Brandy,-
1973,DERIVADOS,Destilado,-
1973,DERIVADOS,Bagaceira,661.270
1973,DERIVADOS,Licor de bagaceira,-
1973,DERIVADOS,Vinagre,-
1973,DERIVADOS,Borra líquida,3.559.922
1973,DERIVADOS,Borra seca,-
1973,DERIVADOS,Vinho Composto,-
1973,DERIVADOS,Pisco,-
1973,DERIVADOS,Vinho orgânico,-
1973,DERIVADOS,Espumante orgânico,-
1973,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1973,DERIVADOS,Vinho acidificado,-
1973,DERIVADOS,Mosto parcialmente fermentado,-
1973,DERIVADOS,Outros derivados,-
1974,VINHO DE MESA,-,193.875.345
1974,VINHO DE MESA,Tinto,146.544.484
1974,VINHO DE MESA,Branco,4.138.768
1974,VINHO DE MESA,Rosado,43.192.093
1974,VINHO FINO DE MESA (VINIFERA),-,31.644.124
1974,VINHO FINO DE MESA (VINIFERA),Tinto,10.047.658
1974,VINHO FINO DE MESA (VINIFERA),Branco,18.927.471
1974,VINHO FINO DE MESA (VINIFERA),Rosado,2.668.995
1974,SUCO,-,-
1974,SUCO,Suco de uva integral,-
1974,SUCO,Suco de uva concentrado,-
1974,SUCO,Suco de uva adoçado,-
1974,SUCO,Suco de uva orgânico,-
1974,SUCO,Suco de uva reconstituído,-
1974,DERIVADOS,-,47.904.934
1974,DERIVADOS,Espumante,-
1974,DERIVADOS,Espumante moscatel,-
1974,DERIVADOS,Base espumante,-
1974,DERIVADOS,Base espumante moscatel,-
1974,DERIVADOS,Base Champenoise champanha,-
1974,DERIVADOS,Base Charmat champanha,-
